transaction_text,category
Gas bill payment INR 15742 TXNb944564d,utilities
Zomato dinner INR 37232 TXNfbe645be,food
Uber ride INR 48016 TXN4d9708eb,travel
College fees payment INR 49896 TXNee12e532,education
Movie ticket booking INR 8464 TXNf152ef63,entertainment
Online course subscription INR 17420 TXNbbdb5f32,education
Game purchase INR 13930 TXN1d652774,entertainment
Movie ticket booking INR 46773 TXN92816f8a,entertainment
Electronics shopping INR 44069 TXN6a794cf1,shopping
Internet recharge INR 33969 TXNc2ff47b4,utilities
College fees payment INR 16296 TXN30feca21,education
Mutual fund SIP INR 22206 TXNf1939d19,investment
Food court payment INR 36351 TXNa8cf474f,food
Crypto investment INR 14482 TXNbc3d28e8,investment
Swiggy order INR 46439 TXNde2c5de0,food
Zomato dinner INR 4467 TXN04fd08ad,food
Lunch at hotel INR 21704 TXN7633d798,food
Hotel booking INR 15647 TXNf0ddccb2,travel
Electronics shopping INR 14090 TXNfa936f62,shopping
Movie ticket booking INR 47455 TXNc26dc640,entertainment
Online course subscription INR 31046 TXN0eb06528,education
Doctor consultation INR 6231 TXN75029cdf,healthcare
Bus ticket INR 28299 TXN7514dd14,travel
Internet recharge INR 26991 TXN20dcb20d,utilities
College fees payment INR 44179 TXN09181290,education
Uber ride INR 26436 TXN80b079bc,travel
Electricity bill payment INR 16345 TXN2ef6d9c3,utilities
Stock purchase INR 35196 TXNc103985e,investment
Online course subscription INR 27698 TXN0eab69c8,education
Personal loan installment INR 30368 TXN6a5b09a4,emi
Mutual fund SIP INR 29091 TXN6fb23ced,investment
Netflix subscription INR 3365 TXN37ead5fb,entertainment
Netflix subscription INR 6162 TXN2ab1934c,entertainment
Stock purchase INR 26684 TXN655afcab,investment
Library fee INR 14058 TXN1f03f0e8,education
Hospital bill INR 10839 TXN481e3700,healthcare
Hospital bill INR 25636 TXNbd833316,healthcare
Electronics shopping INR 18744 TXN54da3eda,shopping
Medical test charges INR 10194 TXN31cab66d,healthcare
Fixed deposit investment INR 14317 TXN99eb6fa7,investment
Food court payment INR 48267 TXNd014baad,food
Netflix subscription INR 49069 TXN652f9be7,entertainment
Electricity bill payment INR 3336 TXNf2197d54,utilities
Online course subscription INR 3777 TXN31a04b2a,education
Netflix subscription INR 12228 TXN1885dc91,entertainment
Hotel booking INR 4503 TXN2404ce6b,travel
PPF contribution INR 7906 TXN70677020,investment
Crypto investment INR 39012 TXNb431a869,investment
Food court payment INR 5422 TXNe948366a,food
Pharmacy medicine purchase INR 17139 TXNd41aec17,healthcare
Fixed deposit investment INR 15692 TXN7e5dcbf0,investment
Electronics shopping INR 8627 TXNf2f962f3,shopping
Electronics shopping INR 20770 TXNa1bf1f26,shopping
Uber ride INR 30084 TXNf3847846,travel
Uber ride INR 35284 TXN202a743e,travel
Crypto investment INR 17430 TXN95ebfb64,investment
Personal loan installment INR 4558 TXNaf138dd7,emi
Fixed deposit investment INR 18726 TXN5a91189a,investment
Credit card EMI INR 35650 TXN267296c0,emi
Online shopping payment INR 42908 TXN6f8d613c,shopping
Netflix subscription INR 43819 TXN894b32e7,entertainment
Concert ticket INR 43525 TXNa8f527e9,entertainment
Ola cab INR 17382 TXNae213996,travel
Uber ride INR 48705 TXNb3204082,travel
Movie ticket booking INR 17898 TXNfef45247,entertainment
Online shopping payment INR 13853 TXN166a4f57,shopping
Water bill INR 45105 TXNce452e21,utilities
Online shopping payment INR 32066 TXN333d5e87,shopping
Amazon purchase INR 6098 TXNb420c383,shopping
Pharmacy medicine purchase INR 2939 TXNf0667fee,healthcare
Restaurant bill INR 8623 TXN496b7492,food
Flipkart order INR 48627 TXN80f2854f,shopping
Library fee INR 36809 TXN7c2d0afa,education
Swiggy order INR 4981 TXN3f1e2a67,food
Bike loan EMI INR 2411 TXNff96b833,emi
Mobile recharge INR 36260 TXN3c01dd4f,utilities
Credit card EMI INR 8402 TXNc845ef83,emi
Restaurant bill INR 23947 TXN23272ced,food
Restaurant bill INR 13817 TXN2650923e,food
Mutual fund SIP INR 23228 TXNaef33ec0,investment
Game purchase INR 40725 TXNf3613d92,entertainment
Car loan EMI INR 10699 TXN28a00a6e,emi
Credit card EMI INR 1674 TXN4e05a989,emi
Personal loan installment INR 27032 TXN7bf78247,emi
Fixed deposit investment INR 10483 TXN38e3765b,investment
Train ticket IRCTC INR 2587 TXN84e9ef8f,travel
Online course subscription INR 13129 TXNbfcd5a5a,education
Exam fee INR 20050 TXNe8c91f62,education
Stock purchase INR 1600 TXN51475e74,investment
PPF contribution INR 21562 TXN855585b4,investment
Amazon purchase INR 18342 TXNcb1241fe,shopping
Mobile recharge INR 26243 TXN7301d490,utilities
Concert ticket INR 1858 TXNf2e300bb,entertainment
Flight ticket booking INR 11752 TXN4c79bde3,travel
Amazon purchase INR 7154 TXN1af02959,shopping
Pharmacy medicine purchase INR 47795 TXN9f7644f4,healthcare
Internet recharge INR 39778 TXN19c7d5fb,utilities
Netflix subscription INR 25294 TXNe190a0d5,entertainment
Fixed deposit investment INR 2958 TXN1ea6c92b,investment
Hospital bill INR 34123 TXNf5955a05,healthcare
Movie ticket booking INR 23919 TXN3a13d540,entertainment
Hospital bill INR 43581 TXN26dceec4,healthcare
Mobile recharge INR 20622 TXN8b17f754,utilities
Bus ticket INR 19731 TXN3a220522,travel
Concert ticket INR 43755 TXN628aef54,entertainment
Pharmacy medicine purchase INR 26421 TXN479189d1,healthcare
Online shopping payment INR 8391 TXN5b7eb5a8,shopping
PPF contribution INR 43626 TXN3bac984c,investment
Doctor consultation INR 40388 TXN73087101,healthcare
Electronics shopping INR 35959 TXN7b5bb148,shopping
Restaurant bill INR 18853 TXN74d64c69,food
PPF contribution INR 38059 TXN92d0084f,investment
Internet recharge INR 29002 TXNc004aac5,utilities
Online course subscription INR 33550 TXN31af66ad,education
Online course subscription INR 43228 TXN62e683fb,education
Flight ticket booking INR 33830 TXNf4a46a36,travel
Electricity bill payment INR 49276 TXN460d5d31,utilities
Fixed deposit investment INR 14772 TXN458425a2,investment
Stock purchase INR 1650 TXN67054b92,investment
Zomato dinner INR 31188 TXN97ec8752,food
Train ticket IRCTC INR 27210 TXN069bb33a,travel
PPF contribution INR 32449 TXNfa84decf,investment
Doctor consultation INR 9721 TXNf4bd6345,healthcare
Lunch at hotel INR 7035 TXNb8e852c4,food
Doctor consultation INR 11576 TXN5aabb539,healthcare
Game purchase INR 3341 TXN84577b8e,entertainment
Movie ticket booking INR 8003 TXNcdc927da,entertainment
Online course subscription INR 30500 TXN6c96233f,education
Concert ticket INR 49546 TXN9203b4f8,entertainment
Library fee INR 35955 TXNaeb86130,education
Online course subscription INR 48786 TXN6c4844bd,education
Library fee INR 17036 TXNd8e58f37,education
Fixed deposit investment INR 34213 TXN50179efe,investment
Online course subscription INR 18046 TXNaf251595,education
College fees payment INR 46812 TXNf2d8ec55,education
Flipkart order INR 17857 TXNd1a8fb02,shopping
Gas bill payment INR 35449 TXN583fda2e,utilities
Ola cab INR 9934 TXN2d99f2dd,travel
PPF contribution INR 45528 TXN8aebf189,investment
Car loan EMI INR 4259 TXN2f2cb15b,emi
Medical test charges INR 21734 TXN881217e2,healthcare
Game purchase INR 27298 TXN34ae8870,entertainment
Zomato dinner INR 27584 TXN35dd678d,food
Hospital bill INR 37778 TXNbb8582e5,healthcare
Medical test charges INR 436 TXNa4702b49,healthcare
Gas bill payment INR 49429 TXN269e62b1,utilities
Medical test charges INR 35322 TXN7d4040d7,healthcare
Movie ticket booking INR 32046 TXNcb9c24ca,entertainment
Fixed deposit investment INR 28612 TXNa76ce857,investment
College fees payment INR 25534 TXNda4847be,education
Internet recharge INR 47509 TXN2489e4eb,utilities
Credit card EMI INR 8414 TXNb4d85099,emi
Netflix subscription INR 25872 TXN1d06bc32,entertainment
Swiggy order INR 42173 TXNb28ffff3,food
Doctor consultation INR 30307 TXNc96512b6,healthcare
Home loan EMI INR 17099 TXN0da12624,emi
Pharmacy medicine purchase INR 13921 TXNabf45e04,healthcare
Exam fee INR 22168 TXN656857bf,education
Pharmacy medicine purchase INR 49333 TXNebee86cf,healthcare
Pharmacy medicine purchase INR 5417 TXNb2625a90,healthcare
College fees payment INR 49138 TXN6e078f25,education
Netflix subscription INR 22985 TXN210b8fbe,entertainment
Mutual fund SIP INR 42763 TXN15a7b35f,investment
Lunch at hotel INR 2083 TXNc5c9d7ca,food
Stock purchase INR 1385 TXN1d12d023,investment
Car loan EMI INR 8322 TXN34859478,emi
College fees payment INR 37010 TXNcf39bcf3,education
PPF contribution INR 45890 TXN7481454e,investment
Clothing store bill INR 11046 TXN67d6393e,shopping
Ola cab INR 20434 TXN34cf79b5,travel
Hotel booking INR 1732 TXN1ea86566,travel
Online shopping payment INR 44440 TXN4deb6f4a,shopping
Medical test charges INR 46909 TXN7ce0a550,healthcare
Mutual fund SIP INR 38853 TXN02b649c8,investment
Mutual fund SIP INR 45741 TXNd63e6aa5,investment
Online shopping payment INR 7983 TXNe90a6cb6,shopping
Restaurant bill INR 34963 TXNe219752a,food
Pharmacy medicine purchase INR 4569 TXN470f9978,healthcare
Concert ticket INR 879 TXN8c6e64a8,entertainment
Medical test charges INR 6966 TXN09428c1b,healthcare
Pharmacy medicine purchase INR 41703 TXNdc8871e1,healthcare
Online course subscription INR 28590 TXN969b834e,education
Bike loan EMI INR 42678 TXN2103c3d4,emi
Online shopping payment INR 35319 TXN84347385,shopping
Library fee INR 28595 TXN5f05f253,education
Clothing store bill INR 16138 TXNfb6352c2,shopping
Flight ticket booking INR 29593 TXN11640606,travel
PPF contribution INR 37395 TXN716d95b6,investment
Pharmacy medicine purchase INR 1930 TXN6d84a1db,healthcare
Exam fee INR 11967 TXN4e5d9b12,education
Online course subscription INR 23303 TXN83d05567,education
Clothing store bill INR 18377 TXN01441ff4,shopping
Online shopping payment INR 715 TXN5aef6d26,shopping
Movie ticket booking INR 5660 TXNcd399e16,entertainment
PPF contribution INR 32069 TXN1ed5cf8f,investment
Movie ticket booking INR 45309 TXNc2622ac7,entertainment
Library fee INR 29421 TXN63ee63fa,education
Swiggy order INR 19333 TXNc2ddd00c,food
PPF contribution INR 45386 TXN52a84cc2,investment
Fixed deposit investment INR 43563 TXNaaa9479f,investment
Internet recharge INR 36322 TXN93708c6a,utilities
Concert ticket INR 27935 TXN82c24b09,entertainment
Concert ticket INR 23106 TXNde2e0ff2,entertainment
Exam fee INR 20144 TXN4fa6cdc7,education
Flipkart order INR 7957 TXN78ccbcc3,shopping
Fixed deposit investment INR 7885 TXN83b4b023,investment
Movie ticket booking INR 12602 TXN92158606,entertainment
PPF contribution INR 18170 TXNf267ef47,investment
Concert ticket INR 6638 TXN41736a5d,entertainment
Fixed deposit investment INR 14958 TXNea48c402,investment
Water bill INR 19859 TXNddde32af,utilities
Pizza delivery INR 35055 TXNc59ef459,food
Personal loan installment INR 3032 TXN4c3645ab,emi
Food court payment INR 19195 TXN9730896e,food
Credit card EMI INR 6773 TXN5491c301,emi
Food court payment INR 18684 TXN6b811af6,food
Library fee INR 28916 TXN5d296822,education
Water bill INR 3417 TXN7af1b64b,utilities
Electronics shopping INR 7526 TXN35843613,shopping
Train ticket IRCTC INR 32277 TXNa365deca,travel
Hotel booking INR 41301 TXN774724ee,travel
Zomato dinner INR 9827 TXN7955dca6,food
Amazon purchase INR 16315 TXN06562852,shopping
Hotel booking INR 27324 TXN989ea4b9,travel
Crypto investment INR 24978 TXN93df496e,investment
Library fee INR 19537 TXN31a01e3e,education
Pharmacy medicine purchase INR 37315 TXN7c2c8d25,healthcare
Food court payment INR 48552 TXN096247da,food
Ola cab INR 41043 TXN0fa27dc7,travel
Fixed deposit investment INR 43331 TXN6df5bdac,investment
Ola cab INR 15769 TXN5ed0511b,travel
Bike loan EMI INR 4969 TXNb1d425df,emi
Home loan EMI INR 26822 TXN50c1f5ed,emi
Library fee INR 19137 TXNd318ee37,education
Zomato dinner INR 18931 TXN02fd3ca9,food
Electronics shopping INR 4714 TXN7c7e81d5,shopping
Fixed deposit investment INR 41013 TXNe3efd1e0,investment
PPF contribution INR 7571 TXN1e533c96,investment
Movie ticket booking INR 42493 TXN78c5c48c,entertainment
Personal loan installment INR 9371 TXN157f792d,emi
Uber ride INR 10923 TXN61f33149,travel
Online shopping payment INR 49133 TXN3f1ce1f9,shopping
Electronics shopping INR 8199 TXN7e5a652c,shopping
Exam fee INR 45907 TXN56f33621,education
Pharmacy medicine purchase INR 32848 TXN1d5b46cb,healthcare
Game purchase INR 28738 TXN61653db7,entertainment
Hotel booking INR 2662 TXNbecb3a62,travel
Pharmacy medicine purchase INR 39614 TXN6bb091c4,healthcare
Amazon purchase INR 6035 TXN18b63d5e,shopping
Crypto investment INR 38527 TXN9c8a2db0,investment
Lunch at hotel INR 44108 TXN6c1dd915,food
Online shopping payment INR 2686 TXN8d782803,shopping
Credit card EMI INR 34060 TXN9b2a1b2a,emi
Exam fee INR 11944 TXNe8d3358c,education
Medical test charges INR 6029 TXNc8977878,healthcare
Exam fee INR 26811 TXNc12cd289,education
Gas bill payment INR 43967 TXN875d796f,utilities
Ola cab INR 21664 TXNa4e2aaf5,travel
Medical test charges INR 18938 TXNf40b1a81,healthcare
Hospital bill INR 29857 TXN41f8585f,healthcare
Flight ticket booking INR 16591 TXN5b032d20,travel
Electricity bill payment INR 26538 TXN0a407e82,utilities
Netflix subscription INR 43150 TXNfd1bfc4c,entertainment
Game purchase INR 27132 TXN88555559,entertainment
Zomato dinner INR 34026 TXN24e7b0c2,food
Mobile recharge INR 49624 TXN2a779edb,utilities
Library fee INR 49856 TXN510bad37,education
Zomato dinner INR 17551 TXN2e0fd5f7,food
Movie ticket booking INR 18926 TXNe9824472,entertainment
Library fee INR 8007 TXN856b0c42,education
Pizza delivery INR 39953 TXN5c0bba30,food
Stock purchase INR 20415 TXNbe5a0860,investment
Netflix subscription INR 36242 TXN0de627f5,entertainment
Hospital bill INR 14775 TXN51cf7aeb,healthcare
Train ticket IRCTC INR 7748 TXN64fc6c39,travel
Credit card EMI INR 47013 TXN8bd0b87f,emi
Online shopping payment INR 46279 TXNe7810d5c,shopping
Electronics shopping INR 31671 TXN0650cff4,shopping
Online course subscription INR 29985 TXNc1176f73,education
Movie ticket booking INR 25188 TXNde5da714,entertainment
Crypto investment INR 33358 TXN91b0d5a9,investment
Home loan EMI INR 18154 TXN7693150b,emi
Pharmacy medicine purchase INR 33325 TXN601ad895,healthcare
Amazon purchase INR 18586 TXN10a1b46c,shopping
Online shopping payment INR 38055 TXN30eadbc5,shopping
Online course subscription INR 29314 TXN448be7c2,education
Game purchase INR 22668 TXN8e927a12,entertainment
Mobile recharge INR 35664 TXNe39aa918,utilities
Medical test charges INR 21138 TXN7085eab9,healthcare
Stock purchase INR 37523 TXNf131a639,investment
Doctor consultation INR 26970 TXNd00f5d48,healthcare
Restaurant bill INR 48854 TXN24048657,food
Library fee INR 25352 TXN16aff8f9,education
Credit card EMI INR 2476 TXN22e2281b,emi
Bike loan EMI INR 38728 TXNc0b29b8f,emi
Electricity bill payment INR 28905 TXN6416fc5b,utilities
Hotel booking INR 29995 TXN4134c8af,travel
Pizza delivery INR 9497 TXN241f053b,food
Doctor consultation INR 4953 TXNda52f274,healthcare
Exam fee INR 22237 TXNcabacfc1,education
Hospital bill INR 21582 TXN5fc510cb,healthcare
Game purchase INR 20802 TXNfdd74c2e,entertainment
College fees payment INR 40515 TXN848c24f9,education
Ola cab INR 41413 TXN19745f54,travel
Flipkart order INR 48990 TXN3b8ff233,shopping
Train ticket IRCTC INR 6501 TXN8fe7cf2f,travel
Train ticket IRCTC INR 10952 TXN896de543,travel
Amazon purchase INR 3064 TXN93995ffe,shopping
Electricity bill payment INR 19276 TXNd421cc32,utilities
Gas bill payment INR 28275 TXN83bdc4a2,utilities
Car loan EMI INR 34860 TXN00704623,emi
Doctor consultation INR 11190 TXN99171f53,healthcare
Home loan EMI INR 39993 TXN77f150ac,emi
Doctor consultation INR 32665 TXNbe1fc358,healthcare
Car loan EMI INR 30271 TXN2e39f635,emi
Electronics shopping INR 16783 TXNa5d5061d,shopping
Lunch at hotel INR 30540 TXNe08a01c5,food
Online shopping payment INR 10403 TXNaf6857e6,shopping
Train ticket IRCTC INR 22696 TXN52c7505c,travel
Electronics shopping INR 45290 TXN16dde1f6,shopping
Electronics shopping INR 19849 TXN04d15e97,shopping
PPF contribution INR 31717 TXNbddcf4bc,investment
Ola cab INR 25043 TXN450b27a0,travel
Mobile recharge INR 19440 TXN704b7a2a,utilities
Amazon purchase INR 43187 TXNe37c95e3,shopping
Pharmacy medicine purchase INR 580 TXN04d96c0b,healthcare
Food court payment INR 48885 TXN4af2f0ca,food
Exam fee INR 15131 TXN996b1f12,education
Water bill INR 41771 TXN6e3e69c5,utilities
Crypto investment INR 16475 TXNc92d680c,investment
Home loan EMI INR 41171 TXN6fd7f68f,emi
Restaurant bill INR 28939 TXN0091879c,food
Food court payment INR 23961 TXN7033eb8e,food
Home loan EMI INR 19390 TXNdffee7d8,emi
Internet recharge INR 11560 TXN034b43d9,utilities
Stock purchase INR 35400 TXNb8cabd89,investment
Mobile recharge INR 32935 TXN7b79f089,utilities
Flipkart order INR 16890 TXN1b12fe1b,shopping
Exam fee INR 48976 TXNb2b5b51f,education
Electricity bill payment INR 30742 TXN768933ea,utilities
Ola cab INR 49474 TXNa1a55f50,travel
PPF contribution INR 36574 TXNc45fdb37,investment
Electricity bill payment INR 25908 TXNe2fa59cf,utilities
Restaurant bill INR 35214 TXN5c0f6ce6,food
Train ticket IRCTC INR 24205 TXNe397777c,travel
Online shopping payment INR 25020 TXN7605b444,shopping
Electricity bill payment INR 44276 TXN29cc775d,utilities
PPF contribution INR 1690 TXN57564bf3,investment
Concert ticket INR 40032 TXNda2159d7,entertainment
Mutual fund SIP INR 41691 TXN9221b31f,investment
Exam fee INR 42598 TXN96231385,education
Hospital bill INR 9210 TXNc1c20ab6,healthcare
Swiggy order INR 19996 TXNc721d89d,food
College fees payment INR 6419 TXN0941f3c2,education
Crypto investment INR 8940 TXN2e64d726,investment
Medical test charges INR 24364 TXN60e9e209,healthcare
Game purchase INR 38541 TXNe8da92fb,entertainment
Credit card EMI INR 42970 TXN4164bb07,emi
Train ticket IRCTC INR 40397 TXN3b58aa6e,travel
Pharmacy medicine purchase INR 2194 TXN5e20215a,healthcare
Water bill INR 29107 TXNd688d2ee,utilities
Online course subscription INR 23818 TXNdb9da5b9,education
Bus ticket INR 24123 TXNa0d8fc7f,travel
Concert ticket INR 4018 TXN54f78233,entertainment
Pharmacy medicine purchase INR 12489 TXN492739b5,healthcare
Train ticket IRCTC INR 6057 TXN22fa5f7f,travel
Crypto investment INR 1449 TXNa7e06811,investment
Lunch at hotel INR 21906 TXNc5d1022f,food
Stock purchase INR 37050 TXN4c2fd2db,investment
Mutual fund SIP INR 36370 TXNc0580c30,investment
Crypto investment INR 14202 TXN15fb90f8,investment
Fixed deposit investment INR 9720 TXN5d853635,investment
Restaurant bill INR 9532 TXN5617cc6b,food
Bike loan EMI INR 16476 TXNabc8ba28,emi
Home loan EMI INR 43373 TXNbd0ea910,emi
Zomato dinner INR 1023 TXN13cfab13,food
Water bill INR 38641 TXNd4ca6b0d,utilities
Electricity bill payment INR 11469 TXNe000f4a9,utilities
Amazon purchase INR 8357 TXN2066f3b3,shopping
Hospital bill INR 48917 TXN658e07cb,healthcare
Train ticket IRCTC INR 29428 TXN7c20270d,travel
Mobile recharge INR 38956 TXN082046ee,utilities
Train ticket IRCTC INR 33069 TXN10c68e16,travel
Crypto investment INR 2891 TXNaa9332e9,investment
Concert ticket INR 30068 TXN949aad80,entertainment
Swiggy order INR 31440 TXN3ae0e455,food
Medical test charges INR 45014 TXN74776be3,healthcare
Train ticket IRCTC INR 46737 TXNaf54174c,travel
College fees payment INR 5344 TXN42b0e0f3,education
Mobile recharge INR 9771 TXN89cf56e3,utilities
Ola cab INR 18073 TXN7757fe5b,travel
Concert ticket INR 25012 TXNce86f140,entertainment
Concert ticket INR 29784 TXN7247cb46,entertainment
Game purchase INR 6549 TXN46d1fae6,entertainment
Bus ticket INR 42708 TXN9c7ee178,travel
Movie ticket booking INR 28235 TXN03e1a88e,entertainment
Online course subscription INR 27169 TXNcb93a589,education
Internet recharge INR 26181 TXNe836b5bc,utilities
Hospital bill INR 20533 TXN24472198,healthcare
Pharmacy medicine purchase INR 43638 TXN26235b05,healthcare
Clothing store bill INR 10053 TXN08d96962,shopping
College fees payment INR 6028 TXN615316f0,education
Uber ride INR 28353 TXNcc4cedc2,travel
Bus ticket INR 48467 TXN44619007,travel
Water bill INR 36512 TXN08fdd5d8,utilities
Food court payment INR 36854 TXNcb1bc0eb,food
Concert ticket INR 43959 TXNb3703bef,entertainment
Train ticket IRCTC INR 23223 TXN70412783,travel
Hospital bill INR 18900 TXN0bfbc682,healthcare
Clothing store bill INR 6839 TXN52a233ae,shopping
Movie ticket booking INR 10190 TXNf1f0961d,entertainment
Online course subscription INR 7142 TXNc42e131c,education
Mobile recharge INR 24138 TXN70741440,utilities
Flight ticket booking INR 37674 TXNafae4d36,travel
PPF contribution INR 36813 TXN00f7a4dd,investment
Netflix subscription INR 39961 TXN1229698f,entertainment
Amazon purchase INR 11873 TXNd052c2df,shopping
Clothing store bill INR 22320 TXN6a53f3b7,shopping
Electricity bill payment INR 11938 TXN26264d35,utilities
Bike loan EMI INR 43129 TXN78f051c7,emi
Hospital bill INR 9347 TXN2b69a40e,healthcare
Swiggy order INR 48947 TXNcd3b6bd4,food
Movie ticket booking INR 24704 TXNc91e34de,entertainment
Medical test charges INR 22390 TXN82707428,healthcare
Personal loan installment INR 20473 TXNb60616a3,emi
Mobile recharge INR 39124 TXN680e76d6,utilities
Uber ride INR 10246 TXN3971ca07,travel
Bike loan EMI INR 3311 TXN6d5657ba,emi
Flight ticket booking INR 29089 TXN2ab3a75f,travel
Medical test charges INR 39835 TXN4daed5b2,healthcare
Library fee INR 17952 TXNb0b3b9c5,education
Crypto investment INR 7509 TXN983fdd13,investment
Internet recharge INR 7317 TXNfeadf028,utilities
Online shopping payment INR 31941 TXN5edd8cac,shopping
Concert ticket INR 3026 TXN318c756e,entertainment
PPF contribution INR 39327 TXN82eadc91,investment
Swiggy order INR 13447 TXNd0179a7f,food
Flipkart order INR 9043 TXN795c8451,shopping
Clothing store bill INR 21553 TXN234df524,shopping
Uber ride INR 32646 TXNc23622de,travel
Doctor consultation INR 8516 TXNaf33e70b,healthcare
Doctor consultation INR 32835 TXNc3f1bfe4,healthcare
Concert ticket INR 4773 TXNd401c1d6,entertainment
Hospital bill INR 28638 TXN5d1bac12,healthcare
Cafe coffee INR 5152 TXN65538529,food
Mobile recharge INR 28183 TXNf032b63a,utilities
Medical test charges INR 19023 TXN3f72b636,healthcare
Train ticket IRCTC INR 1416 TXN9b73d174,travel
Water bill INR 40559 TXN2b4d45c9,utilities
Exam fee INR 5825 TXNbecce8a3,education
Hospital bill INR 15995 TXN52586340,healthcare
Medical test charges INR 34388 TXN0794b2a4,healthcare
Train ticket IRCTC INR 20384 TXN5b115095,travel
Water bill INR 21877 TXN81d8d9b6,utilities
Home loan EMI INR 33505 TXNb97ba709,emi
Hotel booking INR 33470 TXNc7767050,travel
Fixed deposit investment INR 23059 TXN51390f3e,investment
Car loan EMI INR 6787 TXN19dae78f,emi
Personal loan installment INR 12978 TXNfb43c958,emi
Bike loan EMI INR 10068 TXNf49c9a16,emi
Ola cab INR 41203 TXN9c6d16a1,travel
Library fee INR 49493 TXNaa8ad6cd,education
Exam fee INR 41155 TXN7493e4b4,education
Water bill INR 28870 TXN2990eb4a,utilities
Train ticket IRCTC INR 29030 TXNfe7db4da,travel
Clothing store bill INR 38809 TXN2eeca999,shopping
Restaurant bill INR 33298 TXNd22b6105,food
Flight ticket booking INR 30310 TXNe09ac9d6,travel
College fees payment INR 3778 TXN26f11fe9,education
Gas bill payment INR 5078 TXN19ee078a,utilities
Hotel booking INR 38983 TXN9db1207c,travel
Game purchase INR 30374 TXNc5893621,entertainment
Netflix subscription INR 29523 TXNab4d5f37,entertainment
Fixed deposit investment INR 39699 TXNf7d45e21,investment
Online course subscription INR 4104 TXN5cbeec60,education
College fees payment INR 22557 TXNa9d9fb87,education
Hotel booking INR 42394 TXN9f730379,travel
Home loan EMI INR 16286 TXN46a3fd0a,emi
Library fee INR 34395 TXN4fb11a81,education
Movie ticket booking INR 23898 TXNc4ceb742,entertainment
Gas bill payment INR 25439 TXN4b97c3e1,utilities
Pharmacy medicine purchase INR 44542 TXN53909918,healthcare
Lunch at hotel INR 41395 TXNb0855e9a,food
Electricity bill payment INR 21656 TXNa781af14,utilities
Hotel booking INR 44508 TXN96a3a844,travel
Pharmacy medicine purchase INR 16564 TXNefeebc17,healthcare
Personal loan installment INR 5391 TXN0bd2ebc4,emi
Personal loan installment INR 20381 TXN1b6d32e2,emi
