transaction_text,category
Sewage charges INR 19003 TXN2b94c4a9,utilities
Crypto investment INR 3389 TXN68bf3606,investment
Fixed deposit investment INR 28631 TXN16e809b2,investment
Rapido bike ride INR 11527 TXNa67ffac5,travel
Auto rickshaw INR 6974 TXN2768f344,travel
Index fund purchase INR 11887 TXN175d6701,investment
Concert ticket INR 41378 TXNb7e7300f,entertainment
Online shopping payment INR 24190 TXNd8a10592,shopping
PPF contribution INR 4964 TXN2c6c6422,investment
BookMyShow tickets INR 38394 TXN7e2e762b,entertainment
Bharat Petroleum fuel INR 13933 TXN75482dce,travel
Gym membership INR 48379 TXN3bfe351a,healthcare
Concert ticket INR 15679 TXN71848d7f,entertainment
Shoppers Stop INR 2532 TXN10c89346,shopping
Vehicle loan EMI INR 38796 TXN09c8c895,emi
Flipkart order INR 38236 TXNcfe91485,shopping
Amazon purchase INR 46862 TXN0989f2f7,shopping
Restaurant bill INR 18304 TXN7d1cd1a8,food
Vehicle loan EMI INR 2799 TXN83fff0dd,emi
SpiceJet airlines INR 1080 TXN08084f0d,travel
Yatra travel booking INR 1478 TXNf3ac1dc1,travel
Water bill INR 6358 TXN81d2d371,utilities
Dental clinic charges INR 30008 TXNfcfc9d18,healthcare
Steam games purchase INR 22352 TXNe238dc8b,entertainment
Milk dairy payment INR 5825 TXN61661db3,food
Parking fee INR 8368 TXNbdb1e568,travel
Zomato dinner INR 43970 TXN4ea92b26,food
Training program fee INR 38639 TXNd78bd89e,education
Airtel postpaid payment INR 22969 TXN9f720d35,utilities
Sweet shop INR 19542 TXN7b26752d,food
BigBasket grocery INR 1650 TXN0f9c7e9b,food
Gas bill payment INR 6872 TXN22652f75,utilities
Housing loan payment INR 40048 TXN8f74c473,emi
FASTag recharge INR 6634 TXN21b56c3a,travel
Semester fee INR 38370 TXN8dac3a1d,education
Haldiram sweets INR 35506 TXN01aefb61,food
Coaching class fee INR 8117 TXNaea7c539,education
Udemy course purchase INR 46521 TXNe5b7183f,education
Gold loan EMI INR 32873 TXN59821661,emi
Haldiram sweets INR 41583 TXNb1240505,food
ELSS investment INR 44652 TXN25df5a84,investment
Apollo pharmacy INR 22446 TXNfaabe8a1,healthcare
Concert ticket INR 44734 TXN40fa5d5d,entertainment
Sovereign gold bond INR 5212 TXN90bfac2a,investment
Uber ride INR 40894 TXNa1f6c5fc,travel
Business loan installment INR 47454 TXN008a64df,emi
Bike loan EMI INR 43386 TXN74c71cb5,emi
ELSS investment INR 20336 TXN8fc115e2,investment
Credit card EMI INR 6671 TXN4eb663db,emi
Pharmacy medicine purchase INR 28422 TXN2102ddbe,healthcare
Recurring deposit INR 17864 TXNf8f23932,investment
Clothing store bill INR 26077 TXN90ffd894,shopping
Supermarket purchase INR 17108 TXNb39bf321,food
Study material purchase INR 3812 TXN14ec0fae,education
Ajio clothing INR 16820 TXNa7f40ddd,shopping
BookMyShow tickets INR 47892 TXN6d363efe,entertainment
Shoppers Stop INR 19381 TXNf2aecb5f,shopping
Sweet shop INR 40558 TXNa7a4f7ca,food
Semester fee INR 49403 TXN0f8586f0,education
Pizza delivery INR 49259 TXN4a167fe4,food
Subway sandwich INR 19177 TXN84df386e,food
Supermarket purchase INR 11365 TXNe71ad551,food
College fees payment INR 38321 TXNa3e73366,education
Hotel booking INR 8697 TXN8707cb6d,travel
IKEA furniture INR 7165 TXN08ead92e,shopping
Cult Fit subscription INR 22384 TXNdd831971,healthcare
Zepto groceries INR 2083 TXNf3022a93,food
Diesel purchase INR 47889 TXN8a416870,travel
Grofers online INR 49220 TXN6e044182,food
YouTube Premium INR 12059 TXNc9255dc4,entertainment
University fee INR 8628 TXN5cd0e4a9,education
Demat account funding INR 34336 TXNf5e75826,investment
Mutual fund SIP INR 32049 TXN007415b6,investment
Airtel postpaid payment INR 16791 TXN24c90a06,utilities
Hotel booking INR 48927 TXN316b80ef,travel
Snapdeal buy INR 33755 TXNc70e38f2,shopping
McDonalds meal INR 31782 TXN49c9fd45,food
Flipkart order INR 21078 TXN46a33dbc,shopping
Milk dairy payment INR 32432 TXN799aeaf5,food
PVR cinemas INR 382 TXN60fb866c,entertainment
Yatra travel booking INR 7908 TXN1c4b93d2,travel
Zerodha stock buy INR 1407 TXN10de2c4f,investment
INOX movies INR 7322 TXN6705ab8c,entertainment
Cosmetics purchase INR 688 TXN27fd8bc4,shopping
Cafe Coffee Day INR 17910 TXNd4d7cb51,food
Bond purchase INR 30514 TXN121f6661,investment
Gaming top up INR 38344 TXNbcbe3134,entertainment
Health insurance premium INR 8279 TXN461a3f5f,healthcare
Food court payment INR 18342 TXN58ad50e4,food
Business loan installment INR 33981 TXNe860b17e,emi
Chinese takeaway INR 27788 TXN14406c71,food
Two wheeler loan payment INR 34581 TXN2e559f43,emi
College fees payment INR 30540 TXN85765740,education
Biryani order INR 22960 TXNe6656135,food
Fruit vendor INR 5700 TXN16b76692,food
Gold bond purchase INR 22424 TXN7249f0ba,investment
MedPlus store INR 22183 TXN69134550,healthcare
Workshop registration INR 23126 TXN98ba002d,education
Nykaa beauty INR 11224 TXN5ef4b551,shopping
Physiotherapy session INR 32990 TXNe1e20c3b,healthcare
Croma electronics INR 16340 TXN7aa2de90,shopping
Air India ticket INR 44223 TXN6f2e8394,travel
Society maintenance INR 8409 TXNd0ef08f1,utilities
Electricity bill payment INR 36067 TXN84a3ed31,utilities
Bowling alley INR 38784 TXNf95f500d,entertainment
Equity investment INR 6077 TXN584b7863,investment
Theme park ticket INR 42244 TXNf5aff827,entertainment
Movie ticket booking INR 28032 TXNbac4c406,entertainment
Decathlon sports INR 14390 TXNc343a8c6,shopping
PPF contribution INR 19472 TXNb820302e,investment
BigBasket grocery INR 31808 TXNa4144582,food
Jio fiber broadband INR 41025 TXN4ff4046f,utilities
Workshop registration INR 27554 TXNd5c6f348,education
Swiggy order INR 41955 TXN1b321b89,food
Cosmetics purchase INR 23747 TXN94837957,shopping
LPG cylinder booking INR 49302 TXN4db41e5d,utilities
Canteen payment INR 32907 TXN201e5b82,food
Tea stall INR 43443 TXN69f46cda,food
Subway sandwich INR 218 TXN449f7285,food
Steam games purchase INR 5201 TXN6c107630,entertainment
JioCinema plan INR 29162 TXNb672beb6,entertainment
Swiggy order INR 38668 TXN4dc2643c,food
Grocery store bill INR 20136 TXN7b277be9,food
Gold loan EMI INR 19048 TXNe4b1df19,emi
PVR cinemas INR 19434 TXN3f0a2799,entertainment
Indian Oil fuel INR 17606 TXNcd5d0b8f,travel
Movie ticket booking INR 37493 TXNbc07a006,entertainment
